Year;Price;;;;;
2008;9.59;;;;;
2008.5;9.57;;;;;
2009;10.02;;;;;
2009.5;10.07;;;;;
2010;9.93;;;;;
2010.5;10.58;;;;;
2011;11.21;;;;;
2011.5;11.39;;;;;
2012;11.45;;;;;
2012.5;11.69;;;;;
2013;12.78;;;;;
2013.5;12.73;;;;;
2014;13.76;;;;;
2014.5;13.26;;;;;
2015;13.16;;;;;
2015.5;13.0;;;;;
2016;12.85;;;;;
2016.5;12.62;;;;;
2017;12.68;;;;;
2017.5;12.7;;;;;
2018;12.2;;;;;
2018.5;12.44;;;;;
2019;13.1;;;;;
2019.5;13.61;;;;;
2020;15.09;;;;;
2020.5;15.34;;;;;
2021;15.01;;;;;
2021.5;16.42;;;;;
2022;19.25;;;;;